"Datum","Senaste","Öppen","Högst","Lägst","Vol.","+/- %"
"2026-09-06","78.543,5","79.832,2","80.529,7","78.204,6","122,12K","-1,60%"
"2026-08-30","79.823,0","78.230,8","82.178,6","76.293,5","359,22K","2,04%"
"2026-08-23","78.230,7","77.076,3","81.330,3","75.679,1","422,44K","1,50%"
"2026-08-16","77.076,9","63.080,0","79.306,4","62.707,2","527,50K","22,19%"
"2026-08-09","63.080,0","64.953,6","65.402,4","62.553,7","285,96K","-2,88%"
"2026-08-02","64.953,6","62.814,7","65.373,2","62.290,2","283,21K","3,41%"
"2026-07-26","62.814,7","64.367,5","65.693,2","62.280,6","341,33K","-2,41%"
"2026-07-19","64.367,5","64.849,0","66.933,8","63.734,5","367,01K","-0,70%"
"2026-07-12","64.823,6","63.815,4","65.556,5","61.815,7","392,50K","1,57%"
"2026-07-05","63.818,6","63.135,3","64.673,1","61.332,2","367,81K","1,08%"
"2026-06-28","63.135,3","60.011,9","63.441,5","57.832,5","411,82K","5,21%"
"2026-06-21","60.011,2","64.263,2","65.555,3","58.131,4","444,43K","-6,68%"
"2026-06-14","64.306,4","64.432,0","67.276,4","62.269,7","365,55K","-0,19%"
"2026-06-07","64.432,0","60.881,5","64.691,4","60.749,2","455,26K","5,83%"
"2026-05-31","60.883,4","73.848,0","74.256,7","59.159,3","661,20K","-17,56%"
"2026-05-24","73.847,9","76.724,4","78.041,9","72.531,5","343,06K","-3,77%"
"2026-05-17","76.738,0","78.204,6","78.578,0","74.346,5","328,85K","-1,82%"
"2026-05-10","78.156,8","80.689,2","82.431,7","77.680,4","378,56K","-3,12%"
"2026-05-03","80.677,8","78.684,9","82.791,3","78.083,0","372,55K","2,53%"
"2026-04-26","78.684,9","77.623,6","79.461,7","74.981,4","333,44K","1,37%"
"2026-04-19","77.623,2","75.708,0","79.446,3","73.763,4","354,74K","2,53%"
"2026-04-12","75.708,0","73.047,9","78.268,4","70.554,8","455,48K","3,64%"
"2026-04-05","73.046,1","67.298,1","73.765,4","66.624,2","391,86K","8,54%"
"2026-03-29","67.297,5","66.365,7","69.261,5","65.015,2","354,85K","1,41%"
"2026-03-22","66.364,3","68.886,7","71.978,6","65.578,2","446,54K","-3,65%"
"2026-03-15","68.880,5","71.203,5","75.991,2","68.643,6","450,34K","-3,26%"
"2026-03-08","71.203,1","67.317,1","73.904,1","65.641,7","522,20K","5,86%"
"2026-03-01","67.258,9","66.990,7","74.031,0","65.093,1","607,11K","0,39%"
"2026-02-22","66.995,0","68.003,0","69.819,3","62.650,1","552,90K","-1,49%"
"2026-02-15","68.011,1","69.797,0","70.961,2","65.653,5","398,55K","-2,54%"
"2026-02-08","69.784,4","69.318,8","72.204,2","65.138,1","520,54K","0,67%"
"2026-02-01","69.319,5","78.720,6","79.355,0","60.187,0","1,03M","-11,95%"
"2026-01-25","78.726,5","89.254,7","90.520,9","75.993,4","525,26K","-11,80%"
"2026-01-18","89.254,9","95.141,4","95.522,6","87.285,1","329,68K","-6,19%"
"2026-01-11","95.141,4","90.485,1","97.838,4","90.134,5","391,85K","5,15%"
"2026-01-04","90.485,1","90.621,9","94.745,2","89.347,3","356,73K","-0,15%"
"2025-12-28","90.621,9","87.853,0","90.913,5","86.827,7","307,43K","3,15%"
"2025-12-21","87.850,8","88.364,1","90.457,5","86.448,4","276,28K","-0,58%"
"2025-12-14","88.364,0","90.248,3","90.472,3","84.490,5","372,50K","-2,09%"
"2025-12-07","90.249,3","89.209,8","94.591,4","87.747,6","359,67K","1,17%"
"2025-11-30","89.209,8","90.804,1","94.077,0","83.858,1","454,98K","-1,75%"
"2025-11-23","90.800,5","84.729,0","92.942,6","84.729,0","436,71K","7,18%"
"2025-11-16","84.721,6","95.587,6","96.575,1","80.697,7","730,77K","-11,37%"
"2025-11-09","95.587,6","102.311,3","107.461,3","94.126,2","538,83K","-6,57%"
"2025-11-02","102.311,1","110.097,1","111.229,8","99.001,8","573,97K","-7,08%"
"2025-10-26","110.103,6","111.646,0","116.307,5","106.371,4","408,82K","-1,38%"
"2025-10-19","111.646,1","107.189,9","113.971,6","106.134,9","447,31K","4,15%"
"2025-10-12","107.193,5","110.670,9","115.893,1","103.632,7","571,65K","-3,14%"
"2025-10-05","110.671,5","122.387,1","126.186,0","103.893,3","591,30K","-9,57%"
"2025-09-28","122.387,1","109.652,8","123.889,8","109.213,5","388,53K","11,61%"
"2025-09-21","109.652,8","115.699,2","115.833,2","108.673,0","320,20K","-5,23%"
"2025-09-14","115.699,2","115.924,8","117.910,4","114.412,2","278,32K","-0,19%"
"2025-09-07","115.924,9","110.194,4","116.684,3","110.185,6","316,85K","5,20%"
"2025-08-31","110.194,4","108.818,1","113.315,6","107.274,7","318,00K","1,26%"
"2025-08-24","108.818,1","115.431,5","115.663,3","107.433,4","401,65K","-5,73%"
"2025-08-17","115.433,3","117.393,8","118.559,4","111.698,5","352,92K","-1,69%"
"2025-08-10","117.413,4","116.468,4","124.436,8","116.468,4","417,72K","0,81%"
"2025-08-03","116.471,6","112.547,9","117.893,0","111.992,4","261,56K","3,49%"
"2025-07-27","112.547,7","117.918,3","119.788,2","112.015,5","369,36K","-4,55%"
"2025-07-20","117.917,6","117.848,4","120.253,1","114.843,5","432,84K","0,06%"
"2025-07-13","117.848,4","117.422,4","123.104,7","115.774,0","443,88K","0,37%"
"2025-07-06","117.419,5","108.204,7","118.848,4","107.474,2","350,15K","8,52%"
"2025-06-29","108.204,7","107.304,3","110.506,8","105.163,5","267,45K","0,84%"
"2025-06-22","107.304,4","102.114,5","108.261,2","98.249,2","374,67K","5,08%"
"2025-06-15","102.113,2","105.421,6","108.899,3","100.947,8","300,97K","-3,14%"
"2025-06-08","105.421,5","105.564,2","110.404,9","102.739,6","361,17K","-0,14%"
"2025-06-01","105.564,2","104.598,0","106.758,4","100.421,1","346,87K","0,92%"
"2025-05-25","104.598,0","107.763,0","110.718,7","103.091,3","395,16K","-2,94%"
"2025-05-18","107.763,0","103.113,9","111.953,6","102.088,2","589,40K","4,51%"
"2025-05-11","103.112,6","104.748,3","105.765,2","100.766,8","422,84K","-1,61%"
"2025-05-04","104.798,0","95.885,5","104.969,8","93.408,8","462,61K","9,29%"
"2025-04-27","95.885,8","94.631,4","97.881,8","92.818,9","389,99K","1,33%"
"2025-04-20","94.631,4","85.075,5","95.718,6","83.976,1","543,58K","11,24%"
"2025-04-13","85.068,1","85.282,5","86.438,8","83.049,6","382,54K","-0,26%"
"2025-04-06","85.292,7","83.528,0","85.893,5","74.524,2","758,85K","2,08%"
"2025-03-30","83.552,1","82.646,8","88.377,3","81.300,1","475,30K","1,10%"
"2025-03-23","82.645,7","83.840,2","88.740,2","81.668,2","445,19K","-1,43%"
"2025-03-16","83.840,5","84.341,3","87.419,0","81.171,3","384,35K","-0,59%"
"2025-03-09","84.341,3","86.221,5","86.498,6","76.677,1","601,20K","-2,18%"
"2025-03-02","86.221,9","86.065,7","94.986,5","81.617,0","767,22K","0,17%"
"2025-02-23","86.071,6","96.556,2","96.655,2","78.329,8","858,44K","-10,86%"
"2025-02-16","96.556,1","97.573,1","99.473,4","93.403,4","435,85K","-1,04%"
"2025-02-09","97.573,4","96.448,4","98.817,3","94.110,7","472,80K","1,17%"
"2025-02-02","96.447,9","100.647,1","102.372,2","91.695,8","759,78K","-4,17%"
"2025-01-26","100.648,0","104.743,8","106.409,1","97.987,5","566,28K","-3,91%"
"2025-01-19","104.742,9","104.536,8","109.228,6","99.676,0","840,03K","10,80%"
"2025-01-12","94.536,1","94.600,0","95.928,1","89.423,1","55,30K","-0,08%"
"2025-01-05","94.612,0","98.220,1","102.678,2","91.241,9","695,32K","-3,67%"
"2024-12-29","98.219,9","95.282,6","98.963,3","91.522,3","476,14K","3,08%"
"2024-12-22","95.284,5","97.281,6","99.922,5","92.543,2","584,64K","-2,02%"
"2024-12-15","97.253,3","101.417,9","108.244,9","92.301,9","1,34M","-4,11%"
"2024-12-08","101.417,7","99.837,0","102.633,0","94.304,5","1,49M","1,58%"
"2024-12-01","99.837,0","96.404,7","103.719,4","92.510,4","1,02M","3,56%"
"2024-11-24","96.405,7","97.696,4","98.872,4","90.817,2","659,36K","-1,32%"
"2024-11-17","97.699,0","90.569,4","99.617,4","88.736,1","938,17K","7,91%"
"2024-11-10","90.539,1","76.681,4","93.226,6","76.520,5","1,46M","18,04%"
"2024-11-03","76.700,3","69.334,8","77.188,5","66.834,0","1,14M","10,64%"
"2024-10-27","69.325,8","67.084,7","73.569,4","66.924,6","769,03K","3,34%"
"2024-10-20","67.086,8","68.373,3","69.490,8","65.246,7","630,37K","-1,88%"
"2024-10-13","68.372,0","63.205,4","68.990,3","62.054,2","674,99K","8,17%"
"2024-10-06","63.205,1","62.062,0","64.449,3","59.075,7","505,23K","1,84%"
"2024-09-29","62.061,4","65.862,8","66.065,7","59.904,4","591,90K","-5,78%"
"2024-09-22","65.866,5","63.351,2","66.440,7","62.394,6","517,48K","3,98%"
"2024-09-15","63.348,1","59.995,6","64.085,1","57.527,8","642,91K","5,59%"
"2024-09-08","59.995,4","54.161,4","60.625,4","53.642,4","637,99K","10,78%"
"2024-09-01","54.156,5","58.975,7","59.799,7","52.644,6","718,72K","-8,18%"
"2024-08-25","58.978,6","64.160,7","64.939,2","57.874,7","588,30K","-8,07%"
"2024-08-18","64.159,3","59.485,4","64.830,1","57.872,0","565,27K","7,86%"
"2024-08-11","59.483,1","60.929,8","61.677,3","56.275,7","454,19K","-2,38%"
"2024-08-04","60.931,7","60.700,2","62.563,5","49.486,9","856,80K","0,39%"
"2024-07-28","60.696,7","67.888,9","70.000,2","59.914,6","492,61K","-10,53%"
"2024-07-21","67.843,1","67.147,8","69.387,6","63.500,9","413,90K","1,03%"
"2024-07-14","67.148,5","59.207,9","67.586,4","59.207,9","519,22K","13,41%"
"2024-07-07","59.209,8","58.240,2","59.826,5","54.320,0","442,60K","1,63%"
"2024-06-30","58.259,2","60.973,1","63.842,1","53.883,4","674,06K","-4,45%"
"2024-06-23","60.973,4","64.261,0","64.518,9","58.589,9","439,02K","-5,12%"
"2024-06-16","64.261,0","66.223,0","67.253,8","63.427,9","398,24K","-2,96%"
"2024-06-09","66.223,0","69.310,5","70.152,5","65.076,5","436,55K","-4,45%"
"2024-06-02","69.310,1","67.760,8","71.956,5","67.330,6","455,56K","2,29%"
"2024-05-26","67.760,8","69.287,2","70.638,3","66.676,8","385,09K","-2,20%"
"2024-05-19","69.284,4","66.919,0","71.872,0","65.937,3","534,40K","3,54%"
"2024-05-12","66.917,5","60.826,6","67.420,7","60.647,1","469,69K","10,01%"
"2024-05-05","60.826,6","63.897,7","65.448,8","60.251,8","455,08K","-4,79%"
"2024-04-28","63.888,3","63.457,9","64.700,2","56.643,5","693,18K","0,68%"
"2024-04-21","63.456,8","64.942,1","67.208,0","62.507,7","451,32K","-2,32%"
"2024-04-14","64.961,1","63.909,5","66.805,1","59.693,3","869,36K","1,74%"
"2024-04-07","63.849,9","68.897,3","72.710,8","61.065,5","680,91K","-7,32%"
"2024-03-31","68.890,6","69.608,5","71.367,5","64.559,0","649,77K","-1,04%"
"2024-03-24","69.611,5","64.036,5","71.670,8","63.812,9","583,25K","8,70%"
"2024-03-17","64.037,8","65.314,2","68.920,1","60.850,9","644,98K","-1,95%"
"2024-03-10","65.314,2","68.360,7","73.740,9","64.971,0","753,56K","-4,46%"
"2024-03-03","68.366,5","61.955,6","69.904,0","60.138,2","796,49K","10,28%"
"2024-02-25","61.994,5","51.572,1","63.915,3","50.925,2","642,90K","20,21%"
"2024-02-18","51.571,6","51.646,0","52.936,8","50.537,6","327,44K","-0,14%"
"2024-02-11","51.646,0","47.759,3","52.819,4","47.590,2","455,62K","8,14%"
"2024-02-04","47.758,2","43.006,2","48.149,0","42.272,5","402,98K","11,05%"
"2024-01-28","43.005,7","42.121,3","43.817,9","41.649,0","320,49K","2,10%"
"2024-01-21","42.120,9","41.695,4","42.214,8","38.546,9","427,70K","1,02%"
"2024-01-14","41.695,4","42.851,3","43.563,7","40.305,4","418,57K","-2,70%"
"2024-01-07","42.851,3","43.973,5","48.923,7","41.857,9","771,35K","-2,54%"
"2023-12-31","43.967,9","42.141,6","45.885,4","40.888,3","482,41K","4,35%"
"2023-12-24","42.136,7","43.710,4","43.935,7","41.459,0","338,09K","-3,60%"
"2023-12-17","43.710,4","42.271,7","44.394,6","40.554,0","358,37K","3,40%"
"2023-12-10","42.271,7","43.716,6","44.045,4","40.277,1","399,45K","-3,31%"
"2023-12-03","43.718,4","39.456,8","44.697,6","39.280,3","488,43K","10,80%"
"2023-11-26","39.458,4","37.786,4","39.673,4","36.751,5","337,81K","4,42%"
"2023-11-19","37.787,0","36.568,6","38.400,8","35.695,6","377,06K","3,33%"
"2023-11-12","36.568,6","37.149,0","37.954,1","34.984,3","371,77K","-1,57%"
"2023-11-05","37.150,5","35.065,8","37.942,0","34.536,9","395,79K","5,95%"
"2023-10-29","35.065,8","34.082,6","35.907,6","33.937,6","356,78K","2,88%"
"2023-10-22","34.082,6","29.912,7","35.191,4","29.713,6","546,20K","13,94%"
"2023-10-15","29.912,9","26.852,8","30.264,8","26.812,6","453,75K","11,40%"
"2023-10-08","26.852,8","27.961,1","28.097,5","26.558,4","258,44K","-3,96%"
"2023-10-01","27.961,1","26.962,5","28.556,6","26.955,7","355,31K","3,70%"
"2023-09-24","26.962,7","26.579,0","27.283,6","26.013,6","283,67K","1,44%"
"2023-09-17","26.579,2","26.562,0","27.480,7","26.382,3","282,39K","0,06%"
"2023-09-10","26.562,0","25.901,1","26.837,4","24.923,1","327,53K","2,55%"
"2023-09-03","25.901,1","25.869,7","26.417,7","25.411,7","233,37K","0,12%"
"2023-08-27","25.869,7","26.017,1","28.046,0","25.361,9","371,58K","-0,57%"
"2023-08-20","26.017,1","26.099,5","26.807,7","25.481,9","293,72K","-0,32%"
"2023-08-13","26.099,4","29.428,2","29.689,0","25.489,4","442,95K","-11,31%"
"2023-08-06","29.428,2","29.067,9","30.168,6","28.721,0","256,33K","1,24%"
"2023-07-30","29.068,1","29.354,2","30.025,9","28.611,0","282,53K","-0,97%"
"2023-07-23","29.353,5","29.788,9","30.337,0","28.890,7","245,08K","-1,46%"
"2023-07-16","29.788,9","30.291,8","30.435,0","29.621,4","253,92K","-1,66%"
"2023-07-09","30.291,4","30.288,8","31.764,5","29.944,3","429,51K","0,01%"
"2023-07-02","30.288,8","30.587,1","31.463,6","29.757,4","347,61K","-0,97%"
"2023-06-25","30.586,8","30.533,6","31.275,5","29.714,5","489,67K","0,17%"
"2023-06-18","30.533,6","26.515,0","31.395,4","26.290,6","595,01K","15,16%"
"2023-06-11","26.515,0","25.843,3","26.767,3","24.838,0","403,42K","2,60%"
"2023-06-04","25.844,0","27.070,9","27.410,2","25.425,6","392,44K","-4,54%"
"2023-05-28","27.072,0","26.855,3","28.431,2","26.541,3","364,20K","0,80%"
"2023-05-21","26.857,5","27.116,2","27.448,1","25.892,5","326,61K","-0,95%"
"2023-05-14","27.116,2","26.777,4","27.651,7","26.449,8","318,29K","1,27%"
"2023-05-07","26.777,5","28.857,1","29.122,0","25.853,1","501,86K","-7,21%"
"2023-04-30","28.857,1","29.235,1","29.941,3","27.685,9","479,52K","-1,29%"
"2023-04-23","29.234,1","27.813,8","29.995,7","27.054,3","594,98K","5,11%"
"2023-04-16","27.813,9","30.299,2","30.545,3","27.165,7","583,96K","-8,20%"
"2023-04-09","30.299,6","27.941,2","30.964,9","27.809,2","544,03K","8,44%"
"2023-04-02","27.941,2","28.456,1","28.744,4","27.256,9","397,27K","-1,81%"
"2023-03-26","28.456,1","27.474,9","29.160,4","26.611,5","684,10K","3,57%"
"2023-03-19","27.475,6","26.914,5","28.760,3","26.668,7","1,98M","2,09%"
"2023-03-12","26.914,1","20.465,0","27.742,2","20.294,2","4,38M","31,50%"
"2023-03-05","20.467,5","22.347,1","22.636,7","19.591,8","2,75M","-8,41%"
"2023-02-26","22.347,1","23.166,1","23.914,1","22.051,9","1,99M","-3,54%"
"2023-02-19","23.166,1","24.631,3","25.236,8","22.777,4","2,61M","-5,95%"
"2023-02-12","24.631,4","21.859,9","25.233,8","21.418,7","2,81M","12,68%"
"2023-02-05","21.859,8","23.326,9","23.425,1","21.491,7","2,23M","-6,28%"
"2023-01-29","23.323,8","23.023,5","24.207,2","22.560,0","2,36M","1,28%"
"2023-01-22","23.027,9","22.775,7","23.779,0","22.323,0","2,25M","1,11%"
"2023-01-15","22.775,7","20.956,0","23.304,5","20.448,3","2,28M","8,67%"
"2023-01-08","20.958,2","16.943,6","21.185,6","16.913,8","2,44M","23,69%"
"2023-01-01","16.943,6","16.537,5","17.012,3","16.499,7","1,31M","2,46%"
"2022-12-25","16.537,4","16.835,7","16.964,0","16.360,0","1,24M","-1,78%"
"2022-12-18","16.837,2","16.777,0","17.031,3","16.331,2","1,35M","0,36%"
"2022-12-11","16.777,1","17.127,0","18.351,8","16.542,4","1,94M","-2,04%"
"2022-12-04","17.127,2","16.884,8","17.395,2","16.715,3","1,73M","1,44%"
"2022-11-27","16.884,5","16.456,4","17.244,7","16.013,5","1,79M","2,60%"
"2022-11-20","16.456,5","16.699,3","16.785,6","15.504,2","1,78M","-1,45%"
"2022-11-13","16.699,2","16.803,9","17.158,4","15.834,0","1,58M","-0,57%"
"2022-11-06","16.795,2","21.298,7","21.360,4","15.603,3","4,02M","-21,16%"
"2022-10-30","21.301,6","20.809,4","21.464,7","20.065,8","2,62M","2,36%"
"2022-10-23","20.809,8","19.204,8","21.038,1","19.092,5","2,25M","8,36%"
"2022-10-16","19.204,8","19.068,8","19.692,9","18.703,3","1,72M","0,71%"
"2022-10-09","19.068,7","19.416,3","19.933,9","18.207,9","2,12M","-1,78%"
"2022-10-02","19.415,0","19.311,9","20.436,7","18.937,3","2,17M","0,53%"
"2022-09-25","19.311,9","18.925,1","20.361,2","18.505,3","3,37M","2,04%"
"2022-09-18","18.925,2","20.113,9","20.113,9","18.191,8","2,82M","-5,91%"
"2022-09-11","20.113,5","21.650,4","22.702,5","19.352,9","2,58M","-7,10%"
"2022-09-04","21.650,4","19.832,2","21.790,6","18.548,4","2,38M","9,17%"
"2022-08-28","19.831,4","20.034,2","20.558,2","19.542,9","1,85M","-1,01%"
"2022-08-21","20.033,9","21.138,9","21.832,3","19.849,8","1,70M","-5,23%"
"2022-08-14","21.138,9","24.442,1","25.205,7","20.784,8","1,73M","-13,52%"
"2022-08-07","24.442,5","22.944,2","24.882,9","22.714,7","1,39M","6,53%"
"2022-07-31","22.944,2","23.634,2","24.179,3","22.438,7","1,25M","-2,92%"
"2022-07-24","23.634,2","22.449,8","24.605,3","20.737,3","1,49M","5,23%"
"2022-07-17","22.460,4","21.209,8","24.258,0","20.755,2","1,61M","5,90%"
"2022-07-10","21.209,9","21.587,4","21.599,2","18.942,2","1,31M","-1,75%"
"2022-07-03","21.587,5","19.243,4","22.482,1","18.794,4","1,39M","12,18%"
"2022-06-26","19.243,2","21.489,9","21.837,4","18.682,7","742,87K","-10,45%"
"2022-06-19","21.489,9","18.983,4","21.689,3","17.983,7","889,96K","13,19%"
"2022-06-12","18.986,5","28.404,0","28.534,8","17.630,5","1,44M","-33,15%"
"2022-06-05","28.403,4","29.865,1","31.753,4","28.161,8","614,26K","-4,89%"
"2022-05-29","29.864,3","29.027,1","32.377,5","28.838,7","610,88K","2,88%"
"2022-05-22","29.027,1","29.433,0","30.644,8","28.077,9","658,54K","-1,38%"
"2022-05-15","29.434,6","30.078,6","31.383,8","28.648,1","630,05K","-2,15%"
"2022-05-08","30.080,4","35.468,0","35.497,0","26.500,5","672,43M","-15,19%"
"2022-05-01","35.468,0","37.642,0","40.021,0","34.773,0","4,43B","-5,80%"
"2022-04-24","37.650,0","39.434,0","40.770,0","37.596,0","3,35B","-4,49%"
"2022-04-17","39.418,0","40.382,0","42.969,0","38.577,0","2,66B","-2,39%"
"2022-04-10","40.382,0","42.760,0","43.421,0","39.202,0","2,49B","-5,58%"
"2022-04-03","42.767,0","45.813,0","47.435,0","42.113,0","3,23B","-6,64%"
"2022-03-27","45.811,0","44.542,0","48.199,0","44.261,0","3,66B","2,84%"
"2022-03-20","44.548,0","42.241,0","45.112,0","40.530,0","3,16B","5,48%"
"2022-03-13","42.233,0","38.813,2","42.386,0","37.603,4","17,07B","8,81%"
"2022-03-06","38.814,3","39.396,3","42.538,5","37.182,1","20,31B","-1,48%"
"2022-02-27","39.395,8","39.116,6","45.294,2","37.062,3","6,23B","0,72%"
"2022-02-20","39.115,5","40.089,6","40.120,3","34.357,4","635,91K","-2,43%"
"2022-02-13","40.090,3","42.205,5","44.722,6","39.505,0","376,77K","-5,01%"
"2022-02-06","42.205,2","41.411,9","45.755,2","41.176,3","473,29K","1,92%"
"2022-01-30","41.412,1","38.167,5","41.899,8","36.297,3","451,36K","8,49%"
"2022-01-23","38.170,8","35.072,9","38.862,6","32.985,6","630,11K","8,83%"
"2022-01-16","35.075,2","43.079,2","43.487,1","34.116,0","541,76K","-18,61%"
"2022-01-09","43.097,0","41.681,2","44.404,7","39.697,0","391,26K","3,42%"
"2022-01-02","41.672,0","47.738,7","47.944,9","40.574,3","446,80K","-12,71%"
"2021-12-26","47.738,0","50.404,0","52.016,3","45.693,6","391,96K","-5,29%"
"2021-12-19","50.406,4","46.855,7","51.795,3","45.577,3","343,62K","7,58%"
"2021-12-12","46.856,2","49.332,5","50.779,2","45.513,4","446,80K","-4,98%"
"2021-12-05","49.314,5","49.196,4","51.918,6","46.834,0","470,49K","0,24%"
"2021-11-28","49.195,2","54.758,0","59.174,4","42.587,8","485,37K","-10,17%"
"2021-11-21","54.765,9","59.724,0","60.002,6","53.533,5","512,69K","-8,29%"
"2021-11-14","59.717,6","64.397,2","66.311,2","55.626,3","521,73K","-7,27%"
"2021-11-07","64.398,6","61.483,8","68.990,6","61.347,2","451,59K","4,74%"
"2021-10-31","61.483,9","61.842,2","64.256,4","59.612,7","375,25K","-0,58%"
"2021-10-24","61.840,1","61.308,2","63.694,8","58.112,6","449,83K","0,86%"
"2021-10-17","61.312,5","60.865,5","66.967,1","59.143,4","545,11K","0,74%"
"2021-10-10","60.861,1","54.942,5","62.892,8","54.100,8","628,28K","10,77%"
"2021-10-03","54.942,5","47.665,4","55.977,9","46.958,6","506,29K","15,26%"
"2021-09-26","47.666,9","42.685,8","48.435,2","40.786,6","486,08K","11,67%"
"2021-09-19","42.686,8","48.299,9","48.341,9","39.646,8","682,37K","-11,63%"
"2021-09-12","48.306,7","45.162,6","48.761,0","43.463,2","428,09K","6,96%"
"2021-09-05","45.161,9","49.918,7","52.885,3","43.072,4","635,39K","-9,53%"
"2021-08-29","49.918,4","48.899,7","51.008,8","46.533,1","503,54K","2,09%"
"2021-08-22","48.897,1","48.870,4","50.498,8","46.360,4","455,60K","0,04%"
"2021-08-15","48.875,8","47.082,6","49.719,1","43.986,7","404,44K","3,81%"
"2021-08-08","47.081,5","44.584,9","48.090,9","42.824,1","603,00K","5,53%"
"2021-08-01","44.614,2","41.510,0","44.697,3","37.365,4","480,25K","7,37%"
"2021-07-25","41.553,7","34.392,5","42.285,3","33.881,3","772,12K","22,85%"
"2021-07-18","33.824,8","31.517,9","33.955,0","29.310,2","547,54K","7,32%"
"2021-07-11","31.518,6","33.510,8","34.598,0","31.062,2","444,39K","-5,94%"
"2021-07-04","33.510,6","34.742,8","35.957,6","32.146,9","538,72K","-3,55%"
"2021-06-27","34.742,8","32.247,1","36.590,3","32.041,7","644,50K","7,75%"
"2021-06-20","32.243,4","35.510,9","36.097,9","28.901,8","1,38M","-9,21%"
"2021-06-13","35.513,4","35.467,5","41.318,0","34.827,0","869,90K","0,13%"
"2021-06-06","35.467,5","35.518,7","38.340,8","31.158,1","955,16K","-0,15%"
"2021-05-30","35.520,0","34.589,3","39.462,3","33.441,0","795,23K","2,70%"
"2021-05-23","34.584,6","37.446,8","40.750,0","31.192,4","1,36M","-7,65%"
"2021-05-16","37.448,3","46.729,3","49.764,3","30.261,7","2,10M","-19,83%"
"2021-05-09","46.708,8","58.840,6","59.523,9","46.331,1","971,69K","-20,62%"
"2021-05-02","58.840,1","57.807,2","59.471,1","53.741,5","714,62K","1,79%"
"2021-04-25","57.807,1","50.088,2","58.449,4","47.098,5","650,34K","15,41%"
"2021-04-18","50.088,9","60.043,2","60.362,1","47.659,4","1,12M","-16,58%"
"2021-04-11","60.041,9","59.772,4","64.778,0","59.250,3","738,10K","0,49%"
"2021-04-04","59.748,4","57.059,7","61.229,0","55.489,3","478,37K","4,71%"
"2021-03-28","57.059,9","55.856,9","60.134,9","54.711,3","551,09K","2,14%"
"2021-03-21","55.862,9","58.097,4","58.583,8","50.441,3","736,81K","-3,84%"
"2021-03-14","58.093,4","61.192,7","61.673,7","53.342,6","705,78K","-5,07%"
"2021-03-07","61.195,3","48.899,0","61.795,8","48.890,6","726,92K","25,26%"
"2021-02-28","48.855,6","46.136,0","52.567,9","43.100,6","647,90K","5,89%"
"2021-02-21","46.136,7","55.907,6","58.335,1","44.248,2","1,08M","-17,50%"
"2021-02-14","55.923,7","47.172,1","57.523,8","45.786,1","880,27K","18,56%"
"2021-02-07","47.168,7","39.228,9","48.927,4","37.381,6","1,12M","20,16%"
"2021-01-31","39.256,6","34.281,6","40.939,7","32.189,9","844,34K","14,51%"
"2021-01-24","34.283,1","32.088,5","38.546,0","29.290,4","1,38M","6,84%"
"2021-01-17","32.088,9","36.020,1","37.821,0","28.871,2","1,14M","-10,91%"
"2021-01-10","36.019,5","40.149,7","41.362,4","30.411,6","1,40M","-10,29%"
"2021-01-03","40.151,9","32.192,9","41.921,7","28.204,5","1,57M","24,72%"
"2020-12-27","32.193,3","26.460,3","33.233,5","25.858,2","962,22K","21,69%"
"2020-12-20","26.454,4","23.843,6","26.826,0","22.015,5","805,84K","10,95%"
"2020-12-13","23.844,0","18.808,1","24.107,1","18.716,8","1,01M","26,77%"
"2020-12-06","18.808,9","19.146,0","19.424,6","17.600,1","642,93K","-1,76%"
"2020-11-29","19.146,5","17.729,7","19.897,4","17.530,4","883,70K","7,99%"
"2020-11-22","17.730,7","18.394,6","19.486,7","16.235,2","1,15M","-5,12%"
"2020-11-15","18.687,2","16.074,7","18.966,0","15.782,3","985,86K","16,28%"
"2020-11-08","16.071,0","14.826,6","16.474,1","14.720,7","849,61K","8,38%"
"2020-11-01","14.828,4","13.795,5","15.955,2","13.214,2","969,23K","7,47%"
"2020-10-25","13.797,3","13.117,0","14.065,4","12.792,4","737,16K","5,18%"
"2020-10-18","13.117,2","11.362,1","13.213,5","11.349,8","649,57K","15,45%"
"2020-10-11","11.362,1","11.295,6","11.715,9","11.224,6","458,66K","0,56%"
"2020-10-04","11.298,4","10.544,4","11.475,0","10.520,8","415,50K","7,15%"
"2020-09-27","10.544,2","10.727,9","10.946,6","10.387,6","473,68K","-1,71%"
"2020-09-20","10.727,9","11.081,6","11.081,6","10.146,6","521,93K","-3,19%"
"2020-09-13","11.081,8","10.441,7","11.177,1","10.219,4","552,84K","6,13%"
"2020-09-06","10.441,9","10.092,2","10.480,3","9.877,1","24,92M","3,47%"
"2020-08-30","10.092,2","11.468,1","12.045,9","9.897,8","56,56M","-12,00%"
"2020-08-23","11.468,1","11.661,1","11.824,6","11.131,0","3,40M","-1,66%"
"2020-08-16","11.661,3","11.845,5","12.444,1","11.382,1","3,65M","-1,55%"
"2020-08-09","11.845,3","11.764,4","12.041,1","11.146,7","3,46M","0,69%"
"2020-08-02","11.764,3","11.802,6","12.061,1","10.730,7","3,74M","-0,33%"
"2020-07-26","11.803,1","10.961,1","11.847,7","10.771,8","4,12M","21,63%"
"2020-07-19","9.704,1","9.170,1","9.729,3","9.106,4","2,56M","5,82%"
